"taylor.0	Day 1, 8:00 AM	tavern.0		He seems to just be waking up?	
taylor.0	Day 1, 9:00 AM	tavern.0		He's talking to Mary Beth	"Good morning Mary Beth."
taylor.0	Day 1, 9:05 AM	town.north		He seems pretty wobbly.	He stumbles out of the Tavern.
taylor.0	Day 1, 9:30 AM	town.north		He seems pretty wobbly.	
taylor.0	Day 1, 9:35 AM	tailor.0		He making clothes.	He stumbles into the Tailor Shop.
taylor.0	Day 1, 10:00 AM	tailor.0		He's working on a coat.	
taylor.0	Day 1, 6:30 PM	tailor.0		He turns the shop sign to closed.	
taylor.0	Day 1, 6:35 PM	town.north		He seems to be headed for the tavern.	He walks out of the Tailor Shop.
taylor.0	Day 1, 7:00 PM	town.north		He seems to be headed for the tavern.	
taylor.0	Day 1, 7:05 PM	tavern.0			He walks in through the front door confidently
taylor.0	Day 1, 8:00 PM	tavern.0		There an empty bottle infront of him.	He orders a beer. 
taylor.0	Day 1, 9:00 PM	tavern.0		There are two empty bottles in front of him.	He orders a beer.
taylor.0	Day 1, 10:00 PM	tavern.0		There are three empty bottles in front of him.	He orders a beer.
taylor.0	Day 1, 11:00 PM	tavern.0		He puts a fourth empty bottle beside the others and gets up.	
taylor.0	Day 1, 11:05 PM	town.north		He seems to be headed home.	He walks out of the Tavern.
taylor.0	Day 1, 11:30 PM	town.north		He seems to be headed home.	
taylor.0	Day 1, 11:35 PM	tailor.0		Looks like he's off to bed.	He walks in from outside.
taylor.0	Day 1, 11:40 PM	tailor.bedroom		He crashed into bed.	He walks in from the store front.
mary.beth.0	Day 1, 7:00 AM	tavern.bedroom		She just waking up.	
mary.beth.0	Day 1, 7:05 AM	tavern.0		She starts making herself breakfast.	She walks down the stair and behind the bar
mary.beth.0	Day 1, 7:30 AM	tavern.0		She's cleaing up the bar top.	
mary.beth.0	Day 1, 8:55 AM	tavern.0		She looks over at Taylor with a smile.	
mary.beth.0	Day 1, 9:10 AM	tavern.0		She's wiping down tables.	
mary.beth.0	Day 1, 11:00 AM	tavern.0		Looks like she ready to start serving.	She goes behind the bar.
mary.beth.0	Day 1, 11:00 PM	tavern.0		Looks like she's done serving tonight.	She starts cleaning glasses.
mary.beth.0	Day 1, 11:30 PM	tavern.0		She's cooking dinner.	
mary.beth.0	Day 1, 11:45 PM	tavern.0		She's blowing out the candles in the Tavern.	
mary.beth.0	Day 1, 11:50 PM	tavern.bedroom		She crawled into bed.	She's coming in the bedroom door.
jenna.0	Day 1, 8:00 AM	blacksmith.bedroom		She's waking up.	She reaches her arms out and stratches.
jenna.0	Day 1, 8:30 AM	blacksmith.bedroom			
jenna.0	Day 1, 8:35 AM	blacksmith.0			She walks into the smithy.
jenna.0	Day 1, 8:40 AM	town.north		She walks toward the south side of town	She walks out of the smithy
jenna.0	Day 1, 9:00 AM	town.north			
jenna.0	Day 1, 9:05 AM	town.south		She's walking towards the Temple.	She walks in from the north side of town.
jenna.0	Day 1, 9:30 AM	town.south		She's walking towards the Temple.	
jenna.0	Day 1, 9:35 AM	temple.0		She is worshiping at the idol of the Spirit of Peace.	She walks into the Temple.
jenna.0	Day 1, 10:00 AM	temple.0			She walks away from the idol.
jenna.0	Day 1, 10:05 AM	town.south		She's walking towards the north side of town	She exits the Temple.
jenna.0	Day 1, 10:30 AM	town.south		She's walking towards the north side of town	
jenna.0	Day 1, 10:35 AM	town.north		She's walking towards the smithy.	She walks in from the south side of town.
jenna.0	Day 1, 11:00 AM	town.north		She's walking towards the smithy.	
jenna.0	Day 1, 11:05 AM	blacksmith.0		She's working metal in the furnace.	She walks into the Smithy and sits at the furnace.
jenna.0	Day 1, 11:30 AM	blacksmith.0		She's hammering metal on the anvil.	She moves over to the anvil.
jenna.0	Day 1, 12:00 PM	blacksmith.0		She's quenching the blade. Ahhh so much steam.	She moves over to a large barrel.
jenna.0	Day 1, 12:10 PM	blacksmith.0		She puts the completed blade down to rest.	
jenna.0	Day 1, 12:15 PM	town.north		She's walking toward the grocery store.	She walks out of the Smithy.
jenna.0	Day 1, 12:30 PM	town.north		She's walking toward the grocery store.	
jenna.0	Day 1, 12:35 PM	grocery.0		She's stares awkwardly at Alice.	She walks into the Grocery Store.
jenna.0	Day 1, 12:50 PM	grocery.0		She receives a bag of groceries from Alice.	
jenna.0	Day 1, 1:00 PM	grocery.0		She's carrying a bag of groceries.	
jenna.0	Day 1, 1:05 PM	town.north		She's carrying a bag of groceries as she walks toward the Smithy.	She walks out of the Grocery Store.
jenna.0	Day 1, 1:30 PM	town.north		She's carrying a bag of groceries as she walks toward the Smithy.	
jenna.0	Day 1, 1:35 PM	blacksmith.0		She's carrying a bag of groceries as she walks toward the back room.	She walks into the Smithy
jenna.0	Day 1, 1:40 PM	blacksmith.bedroom		She's putting away her groceries.	She walks into the bedroom.
jenna.0	Day 1, 1:55 PM	blacksmith.bedroom		She's walking towards the door.	
